provinsi,tahun,pulau,latitude,longitude,nilai_output_mikro,nilai_output_kecil,perusahaan_mikro,perusahaan_kecil,jumlah_perusahaan,tenaga_kerja_mikro,tenaga_kerja_kecil,jumlah_tenaga_kerja,cluster_raw,cluster,kategori_cluster,Kategori_Cluster,nilai_output,cluster_id
MALUKU,2013,Maluku & Papua,-3.238929,130.145295,1210527.0,576780.0,35208.0,664.0,35872.0,56405.0,5082.0,61487.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1787307.0,0
KEP. BANGKA BELITUNG,2013,Sumatera,-2.741051,106.440903,913970.0,1042504.0,9723.0,1692.0,11415.0,19187.0,12820.0,32007.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1956474.0,0
SULAWESI TENGGARA,2013,Sulawesi,-4.14576,122.174605,2508869.0,2428438.0,57180.0,7864.0,65044.0,108901.0,56251.0,165152.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,4937307.0,2
MALUKU UTARA,2013,Maluku & Papua,1.570696,127.808189,380503.0,41441.0,8328.0,105.0,8433.0,13670.0,730.0,14400.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),421944.0,0
JAWA TIMUR,2013,Jawa,-7.536068,112.238425,33939863.0,58876793.0,539320.0,89786.0,629106.0,1072286.0,723019.0,1795305.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),92816656.0,1
KALIMANTAN BARAT,2013,Kalimantan,-0.138716,109.332657,1996288.0,1693113.0,35892.0,1785.0,37677.0,69978.0,14981.0,84959.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3689401.0,0
ACEH,2013,Sumatera,4.695135,96.749397,3203779.0,2668623.0,74880.0,3688.0,78568.0,130174.0,26670.0,156844.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5872402.0,2
SUMATERA SELATAN,2013,Sumatera,-3.319009,103.914399,3426469.0,5040661.0,57495.0,13852.0,71347.0,106320.0,108223.0,214543.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,8467130.0,2
KALIMANTAN SELATAN,2013,Kalimantan,-3.093082,115.283366,4112850.0,2269494.0,64235.0,4155.0,68390.0,99559.0,32859.0,132418.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6382344.0,2
KALIMANTAN TENGAH,2013,Kalimantan,-1.681488,113.382355,1260352.0,774244.0,17456.0,1285.0,18741.0,32924.0,7732.0,40656.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2034596.0,0
DKI JAKARTA,2013,Jawa,-6.211544,106.845172,3807442.0,16799146.0,20738.0,19172.0,39910.0,50340.0,173357.0,223697.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,20606588.0,2
PAPUA TENGAH,2013,Maluku & Papua,-4.0,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
