provinsi,tahun,pulau,latitude,longitude,nilai_output_mikro,nilai_output_kecil,perusahaan_mikro,perusahaan_kecil,jumlah_perusahaan,tenaga_kerja_mikro,tenaga_kerja_kecil,jumlah_tenaga_kerja,cluster_raw,cluster,kategori_cluster,Kategori_Cluster,nilai_output,cluster_id
BALI,2023,Bali & Nusa Tenggara,-8.340539,115.091949,11143778.0,4451841.0,120752.0,5035.0,125787.0,192371.0,38045.0,230416.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,15595619.0,3
SULAWESI TENGAH,2023,Sulawesi,-1.430318,121.445017,4185859.0,966456.0,69057.0,7072.0,76129.0,137410.0,44840.0,182250.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5152315.0,3
KEP. BANGKA BELITUNG,2023,Sumatera,-2.741051,106.440903,1783702.0,358781.0,15776.0,486.0,16262.0,26903.0,3559.0,30462.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2142483.0,0
LAMPUNG,2023,Sumatera,-4.557573,105.406811,9870331.0,6209407.0,77575.0,3680.0,81255.0,148658.0,26515.0,175173.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,16079738.0,3
KEP. RIAU,2023,Sumatera,3.945398,108.142571,2548181.0,414147.0,25873.0,394.0,26267.0,39612.0,3245.0,42857.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2962328.0,0
SUMATERA BARAT,2023,Sumatera,-0.739864,100.800018,8303610.0,4331998.0,84077.0,4144.0,88221.0,141426.0,27270.0,168696.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12635608.0,3
BENGKULU,2023,Sumatera,-3.79313,102.265808,2757286.0,657615.0,25595.0,936.0,26531.0,49210.0,7558.0,56768.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3414901.0,0
JAWA TIMUR,2023,Jawa,-7.536068,112.238425,72991193.0,33061045.0,862057.0,115414.0,977471.0,1544605.0,954320.0,2498925.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),106052238.0,1
KALIMANTAN BARAT,2023,Kalimantan,-0.138716,109.332657,3578667.0,819478.0,47435.0,1021.0,48456.0,75919.0,7750.0,83669.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4398145.0,0
DKI JAKARTA,2024,Jawa,-6.211544,106.845172,28320243.0,11110374.0,59908.0,11142.0,71050.0,122857.0,99412.0,222269.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,39430617.0,2
DI YOGYAKARTA,2024,Jawa,-7.873783,110.425706,9457669.0,3498244.0,119560.0,5555.0,125115.0,187712.0,49960.0,237672.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12955913.0,2
PAPUA PEGUNUNGAN,2024,Maluku & Papua,-4.5,138.5,58163.0,38412.0,552.0,35.0,587.0,1046.0,242.0,1288.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),96575.0,0
PAPUA BARAT DAYA,2024,Maluku & Papua,-1.8,132.0,413629.0,24006.0,2822.0,39.0,2861.0,5328.0,248.0,5576.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),437635.0,0
ACEH,2024,Sumatera,4.695135,96.749397,8099679.0,2233213.0,106147.0,2360.0,108507.0,188587.0,19481.0,208068.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,10332892.0,2
RIAU,2024,Sumatera,0.293491,101.706513,6244649.0,1079723.0,52839.0,1586.0,54425.0,106196.0,10881.0,117077.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),7324372.0,0
NUSA TENGGARA BARAT,2024,Bali & Nusa Tenggara,-8.652406,117.361649,6290400.0,6166651.0,103807.0,14854.0,118661.0,172700.0,157668.0,330368.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12457051.0,2
SULAWESI BARAT,2024,Sulawesi,-2.840676,119.23247,1140198.0,530744.0,24363.0,375.0,24738.0,39371.0,2733.0,42104.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1670942.0,0
MALUKU,2024,Maluku & Papua,-3.238929,130.145295,1837102.0,89491.0,41326.0,2169.0,43495.0,88089.0,13293.0,101382.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1926593.0,0
MALUKU UTARA,2024,Maluku & Papua,1.570696,127.808189,1150899.0,255361.0,13380.0,2407.0,15787.0,25087.0,20539.0,45626.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1406260.0,0
JAWA TENGAH,2024,Jawa,-7.150975,110.140259,67677096.0,38741377.0,834615.0,52944.0,887559.0,1442945.0,440911.0,1883856.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,106418473.0,1
JAWA TIMUR,2024,Jawa,-7.536068,112.238425,68036231.0,38799692.0,824473.0,101512.0,925985.0,1587860.0,1055676.0,2643536.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),106835923.0,1
KALIMANTAN BARAT,2024,Kalimantan,-0.138716,109.332657,4102905.0,548517.0,46213.0,596.0,46809.0,88756.0,4695.0,93451.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4651422.0,0
SULAWESI TENGGARA,2024,Sulawesi,-4.14576,122.174605,9604754.0,4876046.0,48432.0,1065.0,49497.0,103945.0,8265.0,112210.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14480800.0,2
JAMBI,2024,Sumatera,-1.612129,103.611496,2926260.0,1281228.0,29576.0,1692.0,31268.0,56884.0,12895.0,69779.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4207488.0,0
GORONTALO,2024,Sulawesi,0.699526,122.446341,1519983.0,350681.0,29423.0,1482.0,30905.0,57347.0,10910.0,68257.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1870664.0,0
SUMATERA SELATAN,2024,Sumatera,-3.319009,103.914399,8719188.0,5975575.0,73955.0,3723.0,77678.0,142982.0,29512.0,172494.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14694763.0,2
SUMATERA UTARA,2024,Sumatera,2.11583,99.538753,13968241.0,3978055.0,116906.0,7005.0,123911.0,219763.0,52489.0,272252.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,17946296.0,2
